ID,Curso,Status,Link,Conteudista,Horas
382,Proteção Socioassistencial a Migrantes em Situação de Vulnerabilidade ou Violação a Direitos,Normal,https://www.escolavirtual.gov.br/curso/382,Organização Internacional para as Migrações - OIM,30h
383,Aplicação de Penalidades nos Contratos Administrativos,Normal,https://www.escolavirtual.gov.br/curso/383,Enap - Escola Nacional de Administração Pública,32h
375,A Receita Federal e a Prevenção e Combate à Lavagem de Dinheiro e ao Financiamento do Terrorismo (PCLD/FT),Normal,https://www.escolavirtual.gov.br/curso/375,Secretaria Especial da Receita Federal do Brasil,60h
367,Novas Tecnologias para a Transformação Digital,Normal,https://www.escolavirtual.gov.br/curso/367,Secretaria de Governo Digital,30h
376,Criação de Reservas Particulares do Patrimônio Natural - RPPN,Normal,https://www.escolavirtual.gov.br/curso/376,Instituto Chico Mendes de Conservação da Biodiversidade,20h
366,O papel do DevOps na Transformação Digital dos Serviços Públicos,Normal,https://www.escolavirtual.gov.br/curso/366,Ministério da Fazenda,20h
371,Fiscalização e Gestão de Contratos de TIC,Normal,https://www.escolavirtual.gov.br/curso/371,Ministério da Fazenda,20h
372,Gestão de Conflitos e Negociação,Normal,https://www.escolavirtual.gov.br/curso/372,Ministério da Fazenda,20h
377,Inteligência Artificial no Contexto do Serviço Público,Normal,https://www.escolavirtual.gov.br/curso/377,Ministério da Fazenda,20h
374,Behavioral Economics in public policies development,Normal,https://www.escolavirtual.gov.br/curso/374,Enap - Escola Nacional de Administração Pública,20h
364,Gestão do Programa de Voluntariado nas Unidades Organizacionais do ICMBio,Normal,https://www.escolavirtual.gov.br/curso/364,Instituto Chico Mendes de Conservação da Biodiversidade,40h
373,Liderança e Gestão De Equipes,Normal,https://www.escolavirtual.gov.br/curso/373,Secretaria Especial da Receita Federal do Brasil,30h
348,Governança de TIC para o Governo Digital,Normal,https://www.escolavirtual.gov.br/curso/348,"Secretaria de Planejamento, Governança e Gestão - RS",40h
369,Segurança em Máquinas e Equipamentos NR12 - Fundamentos Básicos,Normal,https://www.escolavirtual.gov.br/curso/369,FUNDACENTRO - Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho,8h
365,Segurança Química em Laboratórios de Ensino e Pesquisa,Normal,https://www.escolavirtual.gov.br/curso/365,FUNDACENTRO - Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho,40h
368,Avaliação da qualidade de serviços como base para gestão e melhoria de serviços públicos,Normal,https://www.escolavirtual.gov.br/curso/368,Ministério da Fazenda,20h
356,Desenvolvendo Times de Alta Performance,Normal,https://www.escolavirtual.gov.br/curso/356,Secretaria Especial da Receita Federal do Brasil,30h
355,Programa de Voluntariado nas Unidades Organizacionais do ICMBio,Normal,https://www.escolavirtual.gov.br/curso/355,Instituto Chico Mendes de Conservação da Biodiversidade,40h
345,"Monitoramento da biodiversidade: gestão, análise e síntese dos dados",Normal,https://www.escolavirtual.gov.br/curso/345,Instituto Chico Mendes de Conservação da Biodiversidade,49h
362,SCDP - Aprovação e Pagamento,Normal,https://www.escolavirtual.gov.br/curso/362,Ministério da Fazenda,25h
359,Sistema de Autorização e Informação em Biodiversidade (Sisbio) - Curso básico para pesquisadores,Normal,https://www.escolavirtual.gov.br/curso/359,Instituto Chico Mendes de Conservação da Biodiversidade,20h
349,S2ID - M2 - Usuário Municipal - Solicitação de Recursos para Ações de Resposta,Normal,https://www.escolavirtual.gov.br/curso/349,Ministério da Integração e Desenvolvimento Regional,40h
350,Técnica legislativa aplicada à Receita Federal do Brasil,Normal,https://www.escolavirtual.gov.br/curso/350,Secretaria Especial da Receita Federal do Brasil,20h
360,"Elaboração Legislativa no Executivo: Legística, Governança e Avaliação",Normal,https://www.escolavirtual.gov.br/curso/360,Casa Civil da Presidência da República,30h
357,Análise de Impacto Regulatório: Conceitos Fundamentais,Normal,https://www.escolavirtual.gov.br/curso/357,Ministério da Fazenda,10h
358,SCDP - Solicitação do Afastamento a Serviço,Normal,https://www.escolavirtual.gov.br/curso/358,Enap - Escola Nacional de Administração Pública,20h
273,Acessibilidade em espaços urbanos,Normal,https://www.escolavirtual.gov.br/curso/273,Ministério dos Direitos Humanos e Cidadania,16h
347,Introdução à Gestão e Apuração da Ética Pública,Normal,https://www.escolavirtual.gov.br/curso/347,Presidência da República,24h
342,Contabilidade com Foco na Gestão do Patrimônio Público,Normal,https://www.escolavirtual.gov.br/curso/342,Enap - Escola Nacional de Administração Pública,21h
346,Mudança do Clima e Gestão de Risco Climático: Conceitos Fundamentais,Normal,https://www.escolavirtual.gov.br/curso/346,Ministério dos Transportes,24h
343,Planejamento da Contratação de Soluções de TIC,Normal,https://www.escolavirtual.gov.br/curso/343,Ministério da Fazenda,20h
339,Introdução ao Federalismo Fiscal no Brasil,Normal,https://www.escolavirtual.gov.br/curso/339,Secretaria de Orçamento Federal,30h
331,Pesquisa com usuários: como ouvir cidadãos e empresas para melhorar seus serviços,Normal,https://www.escolavirtual.gov.br/curso/331,Ministério da Fazenda,20h
335,Active Methodologies,Normal,https://www.escolavirtual.gov.br/curso/335,Columbia University,25h
338,Learning with Python,Normal,https://www.escolavirtual.gov.br/curso/338,Enap - Escola Nacional de Administração Pública,20h
336,Problem-Solving Skills,Normal,https://www.escolavirtual.gov.br/curso/336,Columbia University,25h
337,Instructional Design and Technology with Articulate Storyline 360,Normal,https://www.escolavirtual.gov.br/curso/337,Columbia University,20h
341,Lei de Responsabilidade Fiscal (LRF) e Novo Regime Fiscal (NRF),Normal,https://www.escolavirtual.gov.br/curso/341,Enap - Escola Nacional de Administração Pública,30h
320,Introdução à Audiodescrição,Normal,https://www.escolavirtual.gov.br/curso/320,Enap - Escola Nacional de Administração Pública,40h
325,Análise de Dados em Linguagem R,Normal,https://www.escolavirtual.gov.br/curso/325,Ministério da Fazenda,20h
333,Empresas e Direitos Humanos,Normal,https://www.escolavirtual.gov.br/curso/333,Ministério dos Direitos Humanos e Cidadania,30h
274,Acessibilidade em espaços edificados de uso público,Normal,https://www.escolavirtual.gov.br/curso/274,Ministério dos Direitos Humanos e Cidadania,20h
318,Inteligência Emocional,Normal,https://www.escolavirtual.gov.br/curso/318,Secretaria Especial da Receita Federal do Brasil,50h
216,Acompanhamento e Fiscalização de Contratos Administrativos na Receita Federal do Brasil,Normal,https://www.escolavirtual.gov.br/curso/216,Secretaria Especial da Receita Federal do Brasil,80h
